"Table","Select Setting","Value type","Survey Year","Geography","Select Measure","Levels of Measure","Value","SE","Low 95% CI","High 95% CI","Footnote-Value cell","Footnote-Measure Subscript","Value with Footnote"
"1","Adult Day Services Center","Number","2020","Alabama","Number of people served","Annual average",,,,,"---","2","---"
"1","Residential Care Community","Number","2020","Alabama","Number of people served","Annual average",,,,,"---","2","---"
"1","Residential Care Community","Number","2020","Alabama","Number of providers","Number of providers","269.1","1.7","265.7","272.4",,,"269.1"
"1","Residential Care Community","Number","2020","Alabama","Capacity","Total licensed maximum capacity or total number of beds","10,210.4","459","9,310.6","11,110.3",,"1","10210.4"
"1","Residential Care Community","Number","2020","Alabama","Capacity","Average licensed maximum capacity or average number of beds","37.9","1.8","34.4","41.5",,"1","37.9"
"1","Residential Care Community","Number","2020","Alabama","Number of people served","Daily average","23.3","1.4","20.6","26",,"2","23.3"
"1","Residential Care Community","Percent","2020","Alabama","Number of people served","Category 1",,,,,"*","3","*"
"1","Residential Care Community","Percent","2020","Alabama","Number of people served","Category 2",,,,,"*","3","*"
"1","Residential Care Community","Percent","2020","Alabama","Number of people served","Category 3",,,,,"*","3","*"
"1","Residential Care Community","Percent","2020","Alabama","US Census region","Northeast",,,,,"...",,"..."
"1","Residential Care Community","Percent","2020","Alabama","US Census region","Midwest",,,,,"...",,"..."
"1","Residential Care Community","Percent","2020","Alabama","US Census region","South","100",,,,,,"100"
"1","Residential Care Community","Percent","2020","Alabama","US Census region","West",,,,,"...",,"..."
"1","Residential Care Community","Percent","2020","Alabama","Metropolitan statistical area status","Metropolitan","67.5","4.1","59","75",,,"67.5"
"1","Residential Care Community","Percent","2020","Alabama","Metropolitan statistical area status","Micropolitan","19.7","3.5","13.6","27.5",,,"19.7"
"1","Residential Care Community","Percent","2020","Alabama","Metropolitan statistical area status","Neither","12.8","3","8","19.8",,,"12.8"
"1","Residential Care Community","Percent","2020","Alabama","Ownership","For-profit","79.8","3.5","72","85.8",,,"79.8"
"1","Residential Care Community","Percent","2020","Alabama","Ownership","Nonprofit","20.2","3.5","14.2","28",,,"20.2"
"1","Residential Care Community","Percent","2020","Alabama","Ownership","Government and other",,,,,"-",,"-"
"1","Residential Care Community","Percent","2020","Alabama","Certification","Medicare",,,,,"---",,"---"
"1","Residential Care Community","Percent","2020","Alabama","Certification","Medicaid",,,,,"*",,"*"
"1","Residential Care Community","Percent","2020","Alabama","Chain affiliated","Chain affiliated","70.7","4","62.3","77.9",,,"70.7"
"2","Residential Care Community","Number","2020","Alabama","Total number of nursing and social work FTE employees","Total number of nursing and social work FTE employees","4,536.1","362.2","3,825.9","5,246.2",,,"4536.1"
"2","Residential Care Community","Ratio","2020","Alabama","Ratio of employee type/Total number nursing and social work FTE employees","Registered nurse","10.6","1.7","7.4","13.9",,,"10.6"
"2","Residential Care Community","Ratio","2020","Alabama","Ratio of employee type/Total number nursing and social work FTE employees","LPN/LVN","22.2","1.8","18.7","25.8",,,"22.2"
