2018,2019,2020,2021,2022,2023 (Provisional),2024 (Provisional),Month
14748,13988,14905,18313,19189,19005,17942,January
12686,12892,14405,16261,17541,17228,16067,February
13926,14220,15318,18366,18753,18953,16664,March
13275,13481,15396,18742,17424,18754,16291,April
14025,14475,18085,18987,18473,19164,16885,May
14200,14518,17650,19246,18955,18589,16780,June
14813,15292,18604,19871,20115,20021,16937,July
14116,15171,18513,19726,19323,19751,16159,August
13900,14341,17030,19114,18990,17906,,September
14114,14822,17061,18992,19447,18158,,October
13473,14701,16583,18343,18683,17212,,November
13851,15139,17405,18974,20146,17957,,December
All unintentional injury death ICD-10 codes: V00-X59 and Y85-Y86,,,,,,,
"Provisional data are based on death certificate data received, but not yet fully reviewed, by CDC's National Center for Health Statistics (NCHS). Provisional data provide an early estimate of deaths before the release of final data. Complete documentation may be found at",,,,,,,
Produced by National Center for Injury Prevention and Control with Provisional Deaths from CDC WONDER Online Database using Multiple Cause of Death from NCHS.,,,,,,,
